GMT.Time,id,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause.of.Fix,angle,dist1,dist2
2/08/2020 5:11,8,-36.4934757,174.5171811,96.61,70,23,6.4,4,GPS Schedule,120.8187044,98.99420748,71.55116127
2/08/2020 5:51,8,-36.4935698,174.5182798,0.11,70,26.5,4.2,3,GPS Schedule,146.1004808,127.6763252,342.9471651
2/08/2020 6:21,8,-36.4941072,174.5170198,0.22,70,22,2.6,3,GPS Schedule,65.90678524,270.4134554,376.9081038
2/08/2020 6:41,8,-36.4926048,174.5146436,86.01,70,18.5,4,4,GPS Schedule,-51.37549649,143.3392722,396.4496887
2/08/2020 7:00,8,-36.4929022,174.5130868,73.35,70,17,5.2,4,GPS Schedule,-10.17632205,254.5556347,129.6221993
2/08/2020 7:11,8,-36.4938164,174.5104811,0.11,70,17.5,7,3,GPS Schedule,-162.4628598,138.232941,127.6899594
2/08/2020 7:21,8,-36.4936873,174.5120156,91.78,70,17,2.6,4,GPS Schedule,-159.5172253,11.32012614,75.12815715
2/08/2020 8:11,8,-36.4936617,174.5118933,-0.22,70,18,4,3,GPS Schedule,-61.20154328,69.01710211,49.52022637
2/08/2020 8:20,8,-36.4941141,174.5113647,100.06,32,17,2.2,5,GPS Schedule,148.121994,92.12977344,186.229308
2/08/2020 8:30,8,-36.4933004,174.5115689,101.05,29,16.5,2,4,GPS Schedule,7.349602763,94.48316774,139.3619751
2/08/2020 8:41,8,-36.4924944,174.5119088,0,70,17.5,4.8,3,GPS Schedule,89.62599643,101.8287128,160.8769421
2/08/2020 9:00,8,-36.4927845,174.512987,91,34,18,1.8,6,GPS Schedule,27.63893938,63.57650602,154.9722892
2/08/2020 9:10,8,-36.4931971,174.5134793,84.61,2,16,1.8,6,GPS Schedule,39.79881556,100.688096,115.8126519
2/08/2020 9:20,8,-36.4941021,174.5135603,96.81,3,15,1.8,6,GPS Schedule,-14.96295944,15.58301963,81.20659335
2/08/2020 9:30,8,-36.4942348,174.5136172,4.62,2,14.5,2,5,GPS Schedule,6.888028847,65.71453785,95.04901407
2/08/2020 9:40,8,-36.4948136,174.5137723,127.96,1,15,1.8,5,GPS Schedule,2.026886538,29.34716996,96.02679526
2/08/2020 9:50,8,-36.4950739,174.5138302,112.47,4,15,1.6,6,GPS Schedule,-69.42646553,81.6993296,207.1751359
2/08/2020 10:00,8,-36.4952067,174.5147271,136.26,3,14,1.8,6,GPS Schedule,-65.52029761,159.5184565,196.3436239
2/08/2020 10:10,8,-36.4940273,174.515745,114.77,3,14,5,5,GPS Schedule,-64.66516061,65.02247877,55.26676646
2/08/2020 10:20,8,-36.4935188,174.5153844,96.88,2,14.5,2.2,6,GPS Schedule,134.5112439,75.6570351,136.7402071
2/08/2020 10:30,8,-36.493692,174.5162011,96.11,4,14.5,2.8,6,GPS Schedule,-22.04001235,63.63227727,129.597578
2/08/2020 10:40,8,-36.4936189,174.5169055,113.81,3,14.5,3.2,5,GPS Schedule,59.73615353,85.29704844,287.9953121
2/08/2020 11:01,8,-36.494228,174.5174862,135.11,63,16.5,1.2,6,GPS Schedule,-19.95506988,206.3444396,247.2107248
2/08/2020 11:10,8,-36.4952259,174.5194295,130.02,18,14.5,1.2,6,GPS Schedule,28.7390746,45.50119883,50.24605061
2/08/2020 11:20,8,-36.4955852,174.5196742,118.16,1,14,1.4,5,GPS Schedule,-46.37755644,6.552324486,23.84104241
2/08/2020 11:30,8,-36.4956003,174.5197449,97.4,2,15,2.8,5,GPS Schedule,67.70051494,20.57113824,65.01272432
2/08/2020 11:40,8,-36.4957841,174.5197748,147.17,2,15,1.8,5,GPS Schedule,-86.980702,60.59836945,121.2725323
2/08/2020 11:50,8,-36.4957416,174.5204491,106.47,14,15,2.4,5,GPS Schedule,-36.12464254,66.94348881,41.36668643
2/08/2020 12:00,8,-36.4953491,174.5210165,108.17,3,14,2,5,GPS Schedule,-173.2806018,25.86532538,34.64416932
2/08/2020 12:10,8,-36.495479,174.5207768,113.9,4,15.5,2,5,GPS Schedule,7.553459934,8.836041129,12.98167312
2/08/2020 12:20,8,-36.4955143,174.5206884,105.25,6,16,5.6,4,GPS Schedule,178.0069482,21.80873116,29.8210838
2/08/2020 12:31,8,-36.4954211,174.5209027,99.05,65,18.5,1.6,5,GPS Schedule,-51.37951061,10.86166536,89.39429912
2/08/2020 12:40,8,-36.4953248,174.5209244,103.41,10,18,1.4,5,GPS Schedule,-20.92261008,79.16462398,59.33337972
2/08/2020 12:50,8,-36.4946236,174.5207617,0.1,70,19.5,5.4,3,GPS Schedule,-134.4929029,37.27397509,101.0161197
2/08/2020 13:21,8,-36.4948991,174.5205237,32.76,70,17,3,4,GPS Schedule,-25.95454294,66.17561153,71.16571635
2/08/2020 14:01,8,-36.4954882,174.5204089,-0.12,70,19.5,2.8,3,GPS Schedule,-103.7439679,46.25970271,61.54646076
