GMT.Time,id,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause.of.Fix,angle,dist1,dist2
6/09/2020 2:40,12,-36.6486455,174.3409665,228.61,2,20.5,2.4,5,GPS Schedule,-104.9020839,10.46489687,19.42807994
6/09/2020 2:50,12,-36.6486968,174.3410647,204.2,3,21,2.2,5,GPS Schedule,-85.80545717,15.62120833,1.377307448
6/09/2020 3:00,12,-36.6485846,174.3411702,212.56,34,23,1.2,6,GPS Schedule,-174.9728616,15.40870807,6.30485523
6/09/2020 3:10,12,-36.6486875,174.3410545,217.32,1,22,1.4,5,GPS Schedule,160.1129338,10.98588602,13.02116359
6/09/2020 3:20,12,-36.6485959,174.3411011,224.28,24,23.5,1.4,5,GPS Schedule,24.39323141,2.199922843,1.725190175
6/09/2020 3:30,12,-36.6485823,174.341119,217.94,5,23.5,1.6,5,GPS Schedule,130.2038368,1.811500821,5.272948573
6/09/2020 3:40,12,-36.6485986,174.3411201,220.53,4,23,1.6,5,GPS Schedule,-122.8318122,6.030622234,3.103813059
6/09/2020 3:50,12,-36.6485667,174.3411747,203.51,57,23.5,4.2,4,GPS Schedule,-173.414884,2.965052556,4.75294931
6/09/2020 4:00,12,-36.6485798,174.3411458,209.93,36,22.5,1.4,5,GPS Schedule,-9.518687235,1.80336089,4.934772313
6/09/2020 4:10,12,-36.64859,174.3411301,218.46,4,20.5,1.2,6,GPS Schedule,-81.48433745,4.334173615,8.335596949
6/09/2020 4:20,12,-36.6486237,174.3411546,223.48,6,20.5,1.2,6,GPS Schedule,-2.509366217,4.003419203,6.798358978
6/09/2020 4:30,12,-36.648654,174.3411789,240.74,2,20,1.4,5,GPS Schedule,-136.3177417,9.105871919,6.271848823
6/09/2020 4:40,12,-36.6485734,174.341198,217.59,2,20.5,1.2,6,GPS Schedule,-137.3122093,7.797967362,45.84560787
6/09/2020 4:50,12,-36.6486152,174.3411279,218.06,5,19.5,1.4,6,GPS Schedule,132.9494798,50.80208366,2.146138743
6/09/2020 5:01,12,-36.6481603,174.3411917,-0.57,70,21.5,5.2,3,GPS Schedule,177.6844057,50.13388856,49.49988845
6/09/2020 5:11,12,-36.6486109,174.3411513,218.7,66,22,1.2,5,GPS Schedule,99.24146063,6.764727914,8.068844786
6/09/2020 5:20,12,-36.6485968,174.3410777,235.88,2,20.5,1,5,GPS Schedule,-25.13307124,1.415716592,11.68304037
6/09/2020 5:30,12,-36.6485994,174.3410622,218.73,6,20.5,1,5,GPS Schedule,-144.7581055,12.81069364,4.573169226
6/09/2020 5:40,12,-36.6486454,174.3411936,218.57,4,19.5,2.6,4,GPS Schedule,164.7841211,9.261737515,3.639966656
6/09/2020 6:00,12,-36.6486334,174.3410911,228.74,35,22.5,1,5,GPS Schedule,-160.91487,10.77219595,4.762869999
6/09/2020 6:10,12,-36.648678,174.3411981,213.71,19,22,1,5,GPS Schedule,-154.4321207,10.75227438,11.98733984
6/09/2020 6:20,12,-36.6486007,174.3411256,226.91,38,22.5,1,5,GPS Schedule,74.28739871,3.134951059,43.4184553
6/09/2020 6:30,12,-36.6485782,174.3411468,223.57,35,22.5,1.4,5,GPS Schedule,40.28150254,40.97953715,83.99433601
6/09/2020 6:40,12,-36.6484982,174.3415942,202,3,19,1.4,5,GPS Schedule,28.7757147,45.72596287,84.2319724
6/09/2020 6:50,12,-36.6486136,174.3420851,194.83,3,16.5,1.4,5,GPS Schedule,41.34527915,44.30110575,48.0561692
6/09/2020 7:00,12,-36.6489507,174.3423505,154.61,35,18,3.4,5,GPS Schedule,-70.86963864,9.095012748,224.4530023
6/09/2020 7:10,12,-36.6489319,174.3424495,150.71,3,16.5,3.2,5,GPS Schedule,10.31575533,215.4990939,397.7087332
6/09/2020 7:20,12,-36.6488321,174.3448563,157.23,15,16,3.2,4,GPS Schedule,9.407527826,183.5449866,187.0592612
6/09/2020 7:31,12,-36.6490182,174.3468959,52.4,70,17,4,4,GPS Schedule,83.00490512,20.09773948,39.44286727
6/09/2020 7:41,12,-36.6491993,174.346898,82.35,64,17.5,1.8,5,GPS Schedule,4.293352881,19.37281848,30.17105016
6/09/2020 7:50,12,-36.6493735,174.3468838,68.09,15,17,2,5,GPS Schedule,47.98906777,13.55025278,38.87522851
6/09/2020 8:00,12,-36.6494491,174.3467648,66.87,1,16,2.4,5,GPS Schedule,160.6191995,51.39671238,38.94649658
6/09/2020 8:10,12,-36.6490579,174.3470725,90.04,2,16,4.2,4,GPS Schedule,152.181917,14.77237848,10.90462392
6/09/2020 8:20,12,-36.6491906,174.3470594,73.59,35,18,2.2,6,GPS Schedule,-132.6289286,9.122051103,12.39951214
6/09/2020 8:30,12,-36.6491399,174.3471397,45.97,2,16,2.4,5,GPS Schedule,90.62781013,8.499122648,17.09282097
6/09/2020 8:40,12,-36.6492007,174.3471975,65.39,2,15.5,2.4,4,GPS Schedule,-71.71821057,12.40166832,4.159480271
6/09/2020 8:50,12,-36.649164,174.3473285,95.98,35,18,2.6,6,GPS Schedule,-178.6912375,8.248608779,40.30284185
6/09/2020 9:00,12,-36.6491868,174.3472407,87.56,17,17,2.8,5,GPS Schedule,178.7149339,48.54895146,203.6099853
6/09/2020 9:10,12,-36.6490433,174.3477536,83.83,22,17,2.4,6,GPS Schedule,35.38206521,162.0776889,74.64032439
6/09/2020 9:20,12,-36.6494516,174.3494939,242.39,2,14.5,3,4,GPS Schedule,157.4010873,108.4987459,187.7975498
6/09/2020 9:30,12,-36.64956,174.348288,95.55,58,15.5,1.6,5,GPS Schedule,-107.4398367,189.2125552,8.083587048
6/09/2020 9:40,12,-36.65112,174.3491421,161.07,22,15.5,1.6,5,GPS Schedule,177.7849259,185.627119,189.5792641
6/09/2020 9:51,12,-36.6496168,174.3482314,87.08,64,18,1.2,6,GPS Schedule,-72.8366817,12.18095697,22.02113554
6/09/2020 10:00,12,-36.6496337,174.3480968,76.19,14,16.5,1,7,GPS Schedule,78.11491948,16.0074966,54.2259349
6/09/2020 10:10,12,-36.6494988,174.3480334,69.51,1,15.5,1.4,5,GPS Schedule,-55.56282336,43.54198041,29.24364129
6/09/2020 10:20,12,-36.6494059,174.3475603,73.31,2,14.5,1.4,5,GPS Schedule,-150.3306767,18.06839057,17.87182446
