GMT.Time,id,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause.of.Fix,angle,dist1,dist2
9/10/2020 10:00,14,-36.4825915,174.5225873,143.82,3,13.5,5.6,5,GPS Schedule,51.93236065,131.4562944,184.9591307
9/10/2020 10:10,14,-36.4817663,174.5236398,139.82,5,14,3.2,5,GPS Schedule,45.46820004,67.27156198,65.93066167
9/10/2020 10:20,14,-36.4817802,174.5243903,114.2,3,13.5,2.2,5,GPS Schedule,-111.0041018,4.042584883,44.13121721
9/10/2020 10:30,14,-36.4817459,174.5243751,132.79,35,15.5,1.8,6,GPS Schedule,59.32770411,41.93179752,28.71186542
9/10/2020 10:40,14,-36.4814549,174.5246736,52,1,13.5,2.6,5,GPS Schedule,163.8769581,14.03796029,9.08772122
9/10/2020 10:50,14,-36.4815709,174.5246111,132.15,1,13,1.4,5,GPS Schedule,-151.8338208,6.156433997,4.670137995
9/10/2020 11:00,14,-36.4815365,174.524665,113.76,3,14,1.4,6,GPS Schedule,130.882141,4.409836757,18.15936359
9/10/2020 11:10,14,-36.4815762,174.5246628,114.54,2,13.5,1.4,5,GPS Schedule,-117.4307324,19.76404186,7.796085389
9/10/2020 11:20,14,-36.4815013,174.5248629,132.49,3,14,1.6,4,GPS Schedule,-160.7890943,22.96301581,5.047481252
9/10/2020 11:30,14,-36.4815217,174.5246079,124.4,34,15,1.8,5,GPS Schedule,-179.3870815,17.92020141,28.7150682
9/10/2020 11:40,14,-36.4815075,174.5248071,81.12,3,13,2,5,GPS Schedule,167.4266877,45.93929536,182.8245128
9/10/2020 11:50,14,-36.4816328,174.5243185,122.86,2,13.5,2.8,4,GPS Schedule,117.1162991,199.1322749,35.12353237
9/10/2020 12:01,14,-36.4798629,174.5246852,-0.05,70,15,7.4,3,GPS Schedule,170.2428391,186.5168094,199.006954
9/10/2020 12:10,14,-36.4815437,174.5246946,122.78,53,15.5,1.8,5,GPS Schedule,-35.89851909,15.17322399,2.417699962
9/10/2020 12:20,14,-36.4816541,174.5247945,104.53,2,14,2,5,GPS Schedule,179.8243284,17.590405,18.27940902
9/10/2020 12:30,14,-36.4815264,174.5246782,115.28,7,14.5,2,5,GPS Schedule,12.31778266,0.704606423,51.0824412
9/10/2020 12:40,14,-36.4815206,174.524675,111.1,35,15.5,2.6,4,GPS Schedule,127.6977985,51.51026317,399.4411188
9/10/2020 12:51,14,-36.4816304,174.5252335,0.44,70,15.5,2.4,3,GPS Schedule,148.9381476,442.6802031,299.630119
9/10/2020 13:21,14,-36.4828219,174.520519,-0.08,70,15.5,5.6,3,GPS Schedule,-146.7591328,546.0144749,604.6145128
9/10/2020 15:01,14,-36.4841668,174.5263802,68.89,64,16.5,1.6,6,GPS Schedule,21.55379383,62.53636641,165.5414549
9/10/2020 15:10,14,-36.4845092,174.5269345,89.82,3,14.5,1.6,6,GPS Schedule,16.73053191,104.670522,124.5676658
9/10/2020 15:30,14,-36.4852737,174.5276187,87.79,56,15.5,4.2,5,GPS Schedule,60.33007417,33.30941968,195.0408301
9/10/2020 15:40,14,-36.4855469,174.5274647,100.61,4,14,3.8,5,GPS Schedule,119.3866012,209.2142269,249.0786949
