GMT.Time,id,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause.of.Fix,angle,dist1,dist2
29/08/2020 2:40,10,-36.4126963,174.4490426,56.44,50,26.5,2,5,GPS Schedule,-69.4111762,4.423196627,35.79918575
29/08/2020 2:50,10,-36.4127313,174.4490662,47.81,18,26,2.4,4,GPS Schedule,-16.00731077,31.52670648,41.25440665
29/08/2020 3:01,10,-36.4129336,174.449313,0.52,70,27.5,3.4,4,GPS Schedule,38.09982601,11.57048731,34.12385368
29/08/2020 3:21,10,-36.4130372,174.4493276,0.1,70,28,4,3,GPS Schedule,152.3578408,43.94883406,43.44189737
29/08/2020 3:30,10,-36.4127094,174.4490526,56.15,35,26.5,2.6,5,GPS Schedule,103.5814533,2.433128087,6.524521677
29/08/2020 3:41,10,-36.4127017,174.449078,58.99,70,28.5,3.6,4,GPS Schedule,-74.82335322,5.450300516,6.021899143
29/08/2020 3:50,10,-36.4126528,174.4490723,61.3,51,28,2.6,5,GPS Schedule,-112.7144609,5.419195122,9.272169171
29/08/2020 4:00,10,-36.4126758,174.449019,66.26,15,27,2.4,5,GPS Schedule,-105.3390213,9.092552124,4.195140504
29/08/2020 4:10,10,-36.4127353,174.4490887,35.41,18,27.5,2.2,5,GPS Schedule,-177.8757168,4.904723556,5.476372131
29/08/2020 4:20,10,-36.4127021,174.4490526,55.56,4,27,2,5,GPS Schedule,176.4527699,10.36328459,4.641200819
29/08/2020 4:30,10,-36.4127683,174.4491341,38.87,1,27.5,2.2,4,GPS Schedule,179.1218454,5.723585062,11.06627678
29/08/2020 4:41,10,-36.4127323,174.4490884,47.65,70,31,3,4,GPS Schedule,47.1939064,6.349346343,1.242692632
29/08/2020 4:51,10,-36.4126751,174.4490902,57.94,59,32,2,5,GPS Schedule,-172.1803114,5.396985506,10.83197014
29/08/2020 5:00,10,-36.4127231,174.4490805,50.73,34,31.5,2.2,5,GPS Schedule,23.30595289,5.662805907,15.00438192
