GMT.Time,id,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause.of.Fix,angle,dist1,dist2
30/06/2020 4:30,2,-36.502325,174.2916115,63.98,20,20.5,8.8,4,GPS Schedule,174.3617649,100.363894,134.4196464
30/06/2020 4:41,2,-36.5029267,174.2924479,57.81,70,21.5,6.8,4,GPS Schedule,42.59489786,42.10999841,34.66406579
30/06/2020 4:50,2,-36.5033043,174.2924946,53.3,34,19.5,3.8,5,GPS Schedule,-169.830761,7.591104437,4.546046467
30/06/2020 5:00,2,-36.5032361,174.2925012,55.12,13,17.5,7,4,GPS Schedule,147.3451268,4.419063157,8.062061108
30/06/2020 5:11,2,-36.5032712,174.2925245,46.49,60,17,2,6,GPS Schedule,-57.96404631,4.794774932,6.104568515
30/06/2020 5:20,2,-36.5032741,174.2925779,56.14,5,15,2,6,GPS Schedule,160.7812027,10.42455726,7.176102672
30/06/2020 5:30,2,-36.503299,174.2924657,45.68,6,15.5,2,6,GPS Schedule,138.8087921,9.933551011,13.33984352
30/06/2020 5:40,2,-36.5032243,174.2925268,45.12,5,14.5,2,6,GPS Schedule,-69.52898079,6.08337912,8.034022303
30/06/2020 5:50,2,-36.50318,174.2924868,71.93,4,14,2,5,GPS Schedule,-120.1006092,9.121044859,26.94960873
30/06/2020 6:00,2,-36.5032552,174.2924457,57.31,4,14,2,6,GPS Schedule,-41.9865853,19.47011575,60.12022851
30/06/2020 6:10,2,-36.5034219,174.2925135,33.99,2,14,4,4,GPS Schedule,-52.77306414,46.30809127,49.60246374
30/06/2020 6:30,2,-36.5035581,174.2930021,52.23,35,14.5,2.2,5,GPS Schedule,104.7301122,33.09607574,114.792735
30/06/2020 6:40,2,-36.503806,174.2927967,43.62,2,14,2.4,5,GPS Schedule,-19.63621786,83.08130747,90.61344096
30/06/2020 6:50,2,-36.504532,174.2925701,50.76,6,14,2.8,5,GPS Schedule,74.44029576,20.19883013,19.41216893
30/06/2020 7:00,2,-36.5045365,174.2923447,24.88,39,15,4,5,GPS Schedule,123.0231785,20.49549122,20.40058956
30/06/2020 7:10,2,-36.5043792,174.2924646,8.12,70,16,3.8,3,GPS Schedule,119.8204824,20.19195507,5.079234241
30/06/2020 7:21,2,-36.504539,174.2925724,41.3,65,16.5,2.8,5,GPS Schedule,-166.4579314,21.48621771,148.2114492
30/06/2020 7:30,2,-36.504352,174.2925102,44.14,8,15,2.8,5,GPS Schedule,17.88785034,127.6168776,123.901558
30/06/2020 7:40,2,-36.5032034,174.2925812,41.54,23,14.5,2.6,5,GPS Schedule,-104.6638797,21.85587968,70.37868473
30/06/2020 7:50,2,-36.5032437,174.2923424,28.76,4,13.5,4.2,4,GPS Schedule,-134.5934141,83.98059796,81.3459263
30/06/2020 8:10,2,-36.5036625,174.2931232,33.2,35,15.5,1.8,5,GPS Schedule,-106.881041,11.77197457,10.31624489
30/06/2020 8:20,2,-36.5035609,174.293161,66.94,8,15,1.8,5,GPS Schedule,-172.844368,21.89178414,11.54676174
30/06/2020 8:30,2,-36.5037413,174.2930621,46.61,3,15,1.6,5,GPS Schedule,149.3092237,21.73701424,5.574583866
30/06/2020 8:40,2,-36.5035468,174.2930333,-1.55,2,15.5,2.2,4,GPS Schedule,166.6258522,18.74012073,11.97153749
30/06/2020 8:51,2,-36.5037053,174.2931055,41.92,70,18,3.2,4,GPS Schedule,164.5594384,7.181449802,77.84044252
30/06/2020 9:00,2,-36.5036527,174.2930588,48.12,35,17.5,2,6,GPS Schedule,-110.1756833,80.02490626,115.4217368
30/06/2020 9:10,2,-36.5042492,174.2925568,37.69,1,15.5,2,5,GPS Schedule,-35.0450759,40.36366234,85.01812581
30/06/2020 9:20,2,-36.5046129,174.2925635,-0.04,4,16.5,2.8,5,GPS Schedule,-159.9300416,121.7947186,150.4738843
30/06/2020 9:30,2,-36.5035765,174.293011,51.14,2,16,3.6,4,GPS Schedule,-78.18610822,66.8807457,56.85899291
30/06/2020 9:51,2,-36.5032658,174.2923713,0.24,70,19,5.6,3,GPS Schedule,151.2963916,11.74563731,20.04270965
30/06/2020 10:00,2,-36.5032701,174.2925023,46.65,60,19,1.6,6,GPS Schedule,-67.57378909,12.36632915,42.36301615
30/06/2020 10:10,2,-36.5031689,174.2925601,65.2,6,16.5,1.6,5,GPS Schedule,133.2111396,49.86021004,61.63035795
30/06/2020 10:20,2,-36.5035854,174.2927689,19.56,2,16,2.2,5,GPS Schedule,3.3255683,11.78620294,22.73909927
30/06/2020 10:30,2,-36.503686,174.2928111,49.86,7,17.5,1.6,6,GPS Schedule,15.11658085,11.15204097,20.55472732
30/06/2020 10:40,2,-36.5037863,174.2928189,66.76,5,22,2.4,4,GPS Schedule,139.4076492,27.69968282,73.87914747
30/06/2020 15:11,2,-36.5036073,174.2926034,-0.55,70,25.5,3.6,3,GPS Schedule,-35.20976473,49.50030942,48.13691988
30/06/2020 15:21,2,-36.5035252,174.2920603,0.01,70,21,4.4,3,GPS Schedule,135.505515,68.68070551,90.52989345
30/06/2020 15:30,2,-36.5031801,174.2926967,43.34,56,19,2.4,5,GPS Schedule,98.41407816,69.87970839,185.0308357
