GMT.Time,id,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause.of.Fix,angle,dist1,dist2
26/07/2020 5:10,5,-36.4178627,174.4972981,168.69,36,20.5,2,6,GPS Schedule,-100.950367,12.03354351,56.44933995
26/07/2020 5:20,5,-36.4179321,174.497195,171.73,3,18.5,3.2,4,GPS Schedule,151.7437943,66.76076105,99.29221105
26/07/2020 6:11,5,-36.4173741,174.4974733,163.01,70,18,5.2,4,GPS Schedule,-83.28466031,66.10458557,176.5263482
26/07/2020 6:21,5,-36.4170883,174.4968266,0.5,70,18,3.4,3,GPS Schedule,-68.27018028,141.027465,106.7418923
26/07/2020 6:31,5,-36.4178984,174.495615,-0.07,70,19,4,3,GPS Schedule,-172.5747888,245.0193466,278.3116801
26/07/2020 6:51,5,-36.4167226,174.4979274,-0.07,70,19.5,6.8,3,GPS Schedule,-82.6481099,104.3151347,42.32362388
26/07/2020 7:50,5,-36.4158694,174.4974391,0.25,70,22,6.4,3,GPS Schedule,-161.5043423,125.3125579,127.1520598
26/07/2020 8:30,5,-36.4169918,174.4975931,166.63,58,18.5,1.8,5,GPS Schedule,73.32412468,5.96300806,5.94637513
26/07/2020 8:40,5,-36.4170128,174.4975319,175.25,12,18.5,1.8,5,GPS Schedule,-103.2320089,2.655198483,6.323686933
26/07/2020 8:50,5,-36.4170321,174.4975494,184.14,18,19,1.6,5,GPS Schedule,-107.1883828,6.577283545,10.24270606
26/07/2020 9:00,5,-36.4169845,174.4975931,166.04,17,19.5,1.6,5,GPS Schedule,-74.18135911,6.261078326,3.546332655
26/07/2020 9:10,5,-36.4169398,174.4975505,177.81,20,20,1.6,5,GPS Schedule,-145.9181973,4.669431648,1.487927822
26/07/2020 9:20,5,-36.4169818,174.4975537,184.97,5,19.5,1.6,5,GPS Schedule,179.3215101,3.182204181,11.54584123
26/07/2020 9:30,5,-36.4169532,174.4975511,192.64,2,19.5,1.6,5,GPS Schedule,8.187928716,8.387177205,7.885795111
26/07/2020 9:40,5,-36.4168778,174.4975576,193.88,5,19,1.6,5,GPS Schedule,110.6731583,2.180962767,10.5633207
26/07/2020 9:50,5,-36.416886,174.4975797,194.32,5,18.5,1.6,5,GPS Schedule,85.06841109,10.14993306,1.284331323
26/07/2020 10:00,5,-36.4169721,174.4975415,183.06,5,18,1.6,5,GPS Schedule,-172.7326506,10.03751011,68.50797638
26/07/2020 10:10,5,-36.4168915,174.4975923,183.4,3,18,1.8,5,GPS Schedule,-12.95912689,58.6891286,7.386201295
26/07/2020 10:20,5,-36.4163784,174.497751,208.36,10,19,7.4,4,GPS Schedule,-179.0324347,66.0001725,64.41213101
26/07/2020 10:30,5,-36.4169529,174.4975605,177.53,35,19.5,1.6,5,GPS Schedule,130.38075,2.49446708,2.49446708
26/07/2020 10:40,5,-36.4169344,174.4975447,183.68,12,18,1.6,5,GPS Schedule,34.6162419,0,10.70264421
26/07/2020 10:50,5,-36.4169344,174.4975447,183.68,14,17.5,1.8,5,GPS Schedule,-171.9554201,10.70264421,17.66471013
